instance,tl,triang
dimacs_anna.graph,2,0.02
dimacs_david.graph,2,0.04
dimacs_DSJC1000.1.graph,-1,TO
dimacs_DSJC1000.5.graph,2,80.83
dimacs_DSJC1000.9.graph,2,16.82
dimacs_DSJC125.1.graph,-1,MO
dimacs_DSJC125.5.graph,2,0.23
dimacs_DSJC125.9.graph,2,0.12
dimacs_DSJC250.1.graph,-1,MO
dimacs_DSJC250.5.graph,2,1.2
dimacs_DSJC250.9.graph,2,0.37
dimacs_DSJC500.1.graph,-1,MO
dimacs_DSJC500.5.graph,2,9.6
dimacs_DSJC500.9.graph,2,2.12
dimacs_DSJR500.1c.graph,2,1.72
dimacs_DSJR500.1.graph,-1,TO
dimacs_DSJR500.5.graph,-1,TO
dimacs_flat1000_50_0.graph,2,84.56
dimacs_flat1000_60_0.graph,2,86.66
dimacs_flat1000_76_0.graph,2,80.09
dimacs_flat300_20_0.graph,2,2.01
dimacs_flat300_26_0.graph,2,1.98
dimacs_flat300_28_0.graph,2,2.05
dimacs_fpsol2.i.1.graph,2,0.59
dimacs_fpsol2.i.2.graph,2,0.6
dimacs_fpsol2.i.3.graph,2,0.62
dimacs_games120.graph,-1,MO
dimacs_homer.graph,-1,TO
dimacs_huck.graph,2,0.01
dimacs_inithx.i.1.graph,2,1.11
dimacs_inithx.i.2.graph,2,0.83
dimacs_inithx.i.3.graph,2,0.82
dimacs_jean.graph,2,0.01
dimacs_latin_square_10.graph,2,26.16
dimacs_le450_15a.graph,-1,MO
dimacs_le450_15b.graph,-1,MO
dimacs_le450_15c.graph,-1,MO
dimacs_le450_15d.graph,-1,MO
dimacs_le450_25a.graph,-1,MO
dimacs_le450_25b.graph,-1,MO
dimacs_le450_25c.graph,-1,MO
dimacs_le450_25d.graph,-1,MO
dimacs_le450_5a.graph,-1,MO
dimacs_le450_5b.graph,-1,MO
dimacs_le450_5c.graph,-1,MO
dimacs_le450_5d.graph,-1,MO
dimacs_miles1000.graph,2,0.19
dimacs_miles1500.graph,2,0.16
dimacs_miles250.graph,3,0.05
dimacs_miles500.graph,3,2.98
dimacs_miles750.graph,3,1.79
dimacs_mulsol.i.1.graph,2,0.15
dimacs_mulsol.i.2.graph,2,0.19
dimacs_mulsol.i.3.graph,2,0.19
dimacs_mulsol.i.4.graph,2,0.19
dimacs_mulsol.i.5.graph,2,0.22
dimacs_myciel2.graph,2,0.01
dimacs_myciel3.graph,2,0.03
dimacs_myciel4.graph,2,0.03
dimacs_myciel5.graph,2,0.04
dimacs_myciel6.graph,2,0.16
dimacs_myciel7.graph,2,1.02
dimacs_queen10_10.graph,2,0.14
dimacs_queen11_11.graph,2,0.23
dimacs_queen12_12.graph,2,0.36
dimacs_queen13_13.graph,2,0.55
dimacs_queen14_14.graph,2,0.81
dimacs_queen15_15.graph,2,1.3
dimacs_queen16_16.graph,2,1.91
dimacs_queen5_5.graph,2,0.02
dimacs_queen6_6.graph,2,0.04
dimacs_queen7_7.graph,2,0.05
dimacs_queen8_12.graph,2,0.12
dimacs_queen8_8.graph,2,0.04
dimacs_queen9_9.graph,2,0.09
dimacs_school1.graph,2,11.09
dimacs_school1_nsh.graph,-1,MO
dimacs_zeroin.i.1.graph,2,0.06
dimacs_zeroin.i.2.graph,2,0.17
dimacs_zeroin.i.3.graph,2,0.17
named-graphs_AhrensSzekeresGeneralizedQuadrangleGraph_3.gr,2,0.01
named-graphs_Balaban10Cage.gr,-1,MO
named-graphs_Balaban11Cage.gr,-1,MO
named-graphs_BalancedTree_3_5.gr,1,0.04
named-graphs_BarbellGraph_10_5.gr,1,0.02
named-graphs_BidiakisCube.gr,3,0.02
named-graphs_BiggsSmithGraph.gr,-1,MO
named-graphs_BlanusaFirstSnarkGraph.gr,4,0.02
named-graphs_BlanusaSecondSnarkGraph.gr,4,0.03
named-graphs_BrinkmannGraph.gr,3,0.04
named-graphs_BrouwerHaemersGraph.gr,2,0.12
named-graphs_BubbleSortGraph_5.gr,-1,MO
named-graphs_BuckyBall.gr,8,831.24
named-graphs_CameronGraph.gr,2,1.03
named-graphs_Cell120.gr,-1,TO
named-graphs_ChvatalGraph.gr,2,0.02
named-graphs_CirculantGraph_20_5.gr,2,0.02
named-graphs_CircularLadderGraph_20.gr,8,0.2
named-graphs_ClebschGraph.gr,2,0.02
named-graphs_CompleteBipartiteGraph_25_20.gr,2,0.06
named-graphs_CompleteGraph_15.gr,1,0.03
named-graphs_CoxeterGraph.gr,4,0.2
named-graphs_CubeGraph_6.gr,-1,MO
named-graphs_CycleGraph_100.gr,34,3.05
named-graphs_DejterGraph.gr,-1,MO
named-graphs_DesarguesGraph.gr,4,0.04
named-graphs_DodecahedralGraph.gr,4,0.03
named-graphs_DorogovtsevGoltsevMendesGraph.gr,1,0.44
named-graphs_DoubleStarSnark.gr,4,0.19
named-graphs_DurerGraph.gr,3,0.01
named-graphs_DyckGraph.gr,4,0.75
named-graphs_EllinghamHorton54Graph.gr,7,31.18
named-graphs_EllinghamHorton78Graph.gr,4,1258.07
named-graphs_ErreraGraph.gr,3,0.02
named-graphs_F26AGraph.gr,4,0.13
named-graphs_FibonacciTree_10.gr,1,0.03
named-graphs_FlowerSnark.gr,4,0.03
named-graphs_FoldedCubeGraph_7.gr,-1,MO
named-graphs_FolkmanGraph.gr,2,0.02
named-graphs_FosterGraph.gr,-1,MO
named-graphs_FranklinGraph.gr,2,0.02
named-graphs_FriendshipGraph_10.gr,1,0.02
named-graphs_FruchtGraph.gr,3,0.02
named-graphs_GeneralizedPetersenGraph_10_4.gr,3,0.03
named-graphs_GoethalsSeidelGraph_2_3.gr,2,0.02
named-graphs_GoldnerHararyGraph.gr,1,0.02
named-graphs_GossetGraph.gr,3,5.35
named-graphs_GrayGraph.gr,6,2546.05
named-graphs_Grid2dGraph_20_40.gr,-1,TO
named-graphs_Grid2dGraph_5_5.gr,4,0.04
named-graphs_GrotzschGraph.gr,2,0.01
named-graphs_HallJankoGraph.gr,2,0.14
named-graphs_HanoiTowerGraph_4_3.gr,5,1091.9499999999998
named-graphs_HararyGraph_6_15.gr,3,0.03
named-graphs_HarborthGraph.gr,7,17.2
named-graphs_HarriesGraph.gr,-1,MO
named-graphs_HarriesWongGraph.gr,-1,MO
named-graphs_HeawoodGraph.gr,2,0.03
named-graphs_HerschelGraph.gr,2,0.01
named-graphs_HexahedralGraph.gr,2,0.01
named-graphs_HigmanSimsGraph.gr,2,0.18
named-graphs_HoffmanGraph.gr,2,0.02
named-graphs_HoffmanSingletonGraph.gr,2,0.03
named-graphs_HoltGraph.gr,3,0.18
named-graphs_HortonGrap.gr,-1,MO
named-graphs_HouseGraph.gr,2,0.01
named-graphs_HouseXGraph.gr,1,0.01
named-graphs_HyperStarGraph_10_2.gr,2,0.02
named-graphs_HyperStarGraph_10_5.gr,-1,MO
named-graphs_IcosahedralGraph.gr,3,0.01
named-graphs_JohnsonGraph_10_4.gr,-1,MO
named-graphs_JohnsonGraph_8_2.gr,2,0.02
named-graphs_KittellGraph.gr,3,0.03
named-graphs_Klein3RegularGraph.gr,-1,TO
named-graphs_Klein7RegularGraph.gr,3,0.05
named-graphs_KneserGraph_10_2.gr,2,0.02
named-graphs_KneserGraph_8_3.gr,2,0.04
named-graphs_KrackhardtKiteGraph.gr,2,0.02
named-graphs_LadderGraph_20.gr,2,0.01
named-graphs_LjubljanaGraph.gr,-1,MO
named-graphs_LollipopGraph_7_5.gr,1,0.02
named-graphs_M22Graph.gr,2,0.1
named-graphs_MarkstroemGraph.gr,4,0.15
named-graphs_McGeeGraph.gr,3,0.07
named-graphs_MeredithGraph.gr,6,8.120000000000001
named-graphs_MoebiusKantorGraph.gr,3,0.02
named-graphs_MoserSpindle.gr,2,0.01
named-graphs_NauruGraph.gr,4,0.07
named-graphs_NKStarGraph_5_3.gr,-1,MO
named-graphs_NKStarGraph_8_2.gr,3,59.36
named-graphs_NonisotropicOrthogonalPolarGraph_3_5.gr,2,0.01
named-graphs_NonisotropicUnitaryPolarGraph_3_3.gr,2,0.05
named-graphs_NStarGraph_5.gr,-1,MO
named-graphs_OctahedralGraph.gr,2,0.01
named-graphs_OddGraph_3.gr,2,0.01
named-graphs_OddGraph_4.gr,3,3.61
named-graphs_OddGraph_5.gr,-1,MO
named-graphs_OrthogonalArrayBlockGraph_4_3.gr,1,0.02
named-graphs_OrthogonalPolarGraph_5_2.gr,2,0.01
named-graphs_PaleyGraph_17.gr,2,0.01
named-graphs_PappusGraph.gr,4,0.02
named-graphs_PasechnikGraph_1.gr,1,0.01
named-graphs_PasechnikGraph_2.gr,2,0.02
named-graphs_PasechnikGraph_3.gr,2,0.19
named-graphs_PathGraph_100.gr,1,0.01
named-graphs_PerkelGraph.gr,-1,TO
named-graphs_PetersenGraph.gr,2,0.02
named-graphs_PoussinGraph.gr,3,0.03
named-graphs_RingedTree_10.gr,-1,TO
named-graphs_RingedTree_6.gr,7,30.54
named-graphs_RingedTree_8.gr,-1,TO
named-graphs_RobertsonGraph.gr,2,0.03
named-graphs_SchlaefliGraph.gr,2,0.01
named-graphs_ShrikhandeGraph.gr,2,0.01
named-graphs_SierpinskiGasketGraph_3.gr,2,0.01
named-graphs_SierpinskiGasketGraph_5.gr,8,162.37
named-graphs_SimsGewirtzGraph.gr,2,0.04
named-graphs_SousselierGraph.gr,3,0.03
named-graphs_SquaredSkewHadamardMatrixGraph_1.gr,2,0.03
named-graphs_SquaredSkewHadamardMatrixGraph_2.gr,2,0.03
named-graphs_SquaredSkewHadamardMatrixGraph_3.gr,2,0.17
named-graphs_StarGraph_100.gr,1,0.02
named-graphs_SwitchedSquaredSkewHadamardMatrixGraph_1.gr,2,0.01
named-graphs_SwitchedSquaredSkewHadamardMatrixGraph_2.gr,2,0.03
named-graphs_SwitchedSquaredSkewHadamardMatrixGraph_3.gr,2,0.18
named-graphs_SylvesterGraph.gr,3,3.83
named-graphs_SymplecticDualPolarGraph_4_3.gr,2,0.03
named-graphs_SymplecticDualPolarGraph_4_4.gr,2,0.09
named-graphs_SymplecticPolarGraph_4_3.gr,2,0.02
named-graphs_SymplecticPolarGraph_4_4.gr,2,0.09
named-graphs_SzekeresSnarkGraph.gr,6,9.44
named-graphs_T2starGeneralizedQuadrangleGraph_2.gr,2,0.01
named-graphs_T2starGeneralizedQuadrangleGraph_4.gr,2,0.06
named-graphs_TaylorTwographDescendantSRG_3.gr,2,0.02
named-graphs_TaylorTwographSRG_3.gr,2,0.03
named-graphs_TetrahedralGraph.gr,1,0.01
named-graphs_ThomsenGraph.gr,2,0.01
named-graphs_TietzeGraph.gr,3,0.01
named-graphs_Toroidal6RegularGrid2dGraph_4_6.gr,3,0.06
named-graphs_TruncatedIcosidodecahedralGraph.gr,-1,MO
named-graphs_TruncatedTetrahedralGraph.gr,3,0.02
named-graphs_Tutte12Cage.gr,-1,MO
named-graphs_TutteCoxeterGraph.gr,4,0.35
named-graphs_TutteGraph.gr,4,3.08
named-graphs_WagnerGraph.gr,2,0.01
named-graphs_WatkinsSnarkGraph.gr,5,7.98
named-graphs_WellsGraph.gr,3,0.91
named-graphs_WheelGraph_100.gr,2,0.02
named-graphs_WienerArayaGraph.gr,5,6.98
named-graphs_WorldMap.gr,5,0.91
totals,-,184
